Job Title,Company,Location,Experience Required,Job URL,Posted Date,Source,Description
SDE-2 IOS,"Locus.shBengaluru, Karnataka","Locus.shBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=0848f0680e804b3c,,Indeed,
SDE-2 Android,"Locus.shBengaluru, Karnataka","Locus.shBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=717d2fb7d409c1f8,,Indeed,
Software Developer,"Uttam Innovative Solution Pvt. Ltd.CBD Belapur, Navi Mumbai, Maharashtra","Uttam Innovative Solution Pvt. Ltd.CBD Belapur, Navi Mumbai, Maharashtra",,https://in.indeed.com/viewjob?jk=62abb57fcb8b3f97,,Indeed,
Software Developer,"EmersonRemote in Pune, Maharashtra","EmersonRemote in Pune, Maharashtra",,https://in.indeed.com/viewjob?jk=2a2239da2f5e09fa,,Indeed,
Software Developer,"EmersonRemote in Pune, Maharashtra","EmersonRemote in Pune, Maharashtra",,https://in.indeed.com/viewjob?jk=890abcdef0123456,,Indeed,
Staff Software Developer,"Kaseya CareersPune, Maharashtra","Kaseya CareersPune, Maharashtra",,https://in.indeed.com/viewjob?jk=4d2df5803d80376f,,Indeed,
AES - DE- Python Backend Engineer,"Zensar TechnologiesGurugram, Haryana","Zensar TechnologiesGurugram, Haryana",,https://in.indeed.com/viewjob?jk=c8a8bee94e9ca836,,Indeed,
Backend Engineer,"hindustan RecruitmentBengaluru, Karnataka","hindustan RecruitmentBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=0aca2210f9654df8,,Indeed,
Fullstack Engineer (ReactJS/NodeJS) - Remote,"ClanXRemote in Mumbai, Maharashtra","ClanXRemote in Mumbai, Maharashtra",,https://in.indeed.com/viewjob?jk=593bb6d008e7c85c,,Indeed,
SDEII-Backend,"Expedia GroupGurugram, Haryana","Expedia GroupGurugram, Haryana",,https://in.indeed.com/viewjob?jk=228a05558530ffd0,,Indeed,
Senior Backend Engineer (LLMs/VoiceModel),"XpressEduBengaluru, Karnataka","XpressEduBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=55b842a52f851bd5,,Indeed,
Software Engineer – Backend and Database Technologies,"IDBI IntechCBD Belapur, Navi Mumbai, Maharashtra","IDBI IntechCBD Belapur, Navi Mumbai, Maharashtra",,https://in.indeed.com/viewjob?jk=2e0f3201c86e3a81,,Indeed,
Senior Backend Engineer (LLMs/VoiceModels),"al-fahadBengaluru, Karnataka","al-fahadBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=30f1b5472cd86238,,Indeed,
Software Engineer (Backend),"MaerskBengaluru, Karnataka","MaerskBengaluru, Karnataka",,https://in.indeed.com/viewjob?jk=efd4da8194051fa3,,Indeed,
